Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
320.0,31.0,100.0,100.0,100
320.0,31.0,100.0,100.0,100
582.0,28.0,101.56,100.0,100
582.0,28.0,101.56,100.0,100
646.0,122.0,103.12,100.0,100
646.0,122.0,103.12,100.0,100
751.0,0.0,104.69,25.0,100
751.0,0.0,104.69,25.0,100
784.0,0.0,106.25,25.0,100
784.0,0.0,106.25,25.0,100
817.0,0.0,107.81,100.0,100
817.0,0.0,107.81,100.0,100
849.0,0.0,109.38,25.0,100
849.0,0.0,109.38,25.0,100
883.0,0.0,110.94,100.0,100
883.0,0.0,110.94,100.0,100
923.0,0.0,112.5,100.0,100
923.0,0.0,112.5,100.0,100
958.0,0.0,114.06,25.0,100
958.0,0.0,114.06,25.0,100
991.0,0.0,115.62,25.0,100
991.0,0.0,115.62,25.0,100
1026.0,88.0,117.19,100.0,100
1026.0,88.0,117.19,100.0,100
1054.0,0.0,118.75,25.0,100
1054.0,0.0,118.75,25.0,100
1092.0,0.0,120.31,25.0,100
1092.0,0.0,120.31,25.0,100
1117.0,168.0,121.88,25.0,100
1117.0,168.0,121.88,25.0,100
