,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDK0.5-1-1,0.0,jython,100.0,100.0
1,30.0,100.0,JDK0.5-1-1,29201.0,jython,100.0,100.0
2,123.0,100.0,JDK0.5-1-1,50398.0,jython,24946.09,100.0
3,172.0,100.0,JDK0.5-1-1,57708.0,jython,24946.09,100.0
4,191.0,100.0,JDK0.5-1-1,66307.0,jython,24946.09,100.0
5,159.0,100.0,JDK0.5-1-1,67795.0,jython,24946.09,100.0
6,160.0,100.0,JDK0.5-1-1,69011.0,jython,24946.09,100.0
7,183.0,100.0,JDK0.5-1-1,71096.0,jython,24946.09,100.0
8,169.0,100.0,JDK0.5-1-1,72442.0,jython,24946.09,100.0
9,0.0,0.0,JDK0.5-1-1,0.0,jython,100.0,100.0
10,0.0,100.0,JDK0.5-1-1,0.0,jython,100.0,100.0
11,36.0,100.0,JDK0.5-1-1,25732.0,jython,100.0,100.0
12,108.0,100.0,JDK0.5-1-1,48315.0,jython,24946.09,100.0
13,280.0,100.0,JDK0.5-1-1,55235.0,jython,24946.09,100.0
14,168.0,100.0,JDK0.5-1-1,63448.0,jython,24946.09,100.0
15,170.0,100.0,JDK0.5-1-1,64939.0,jython,24946.09,100.0
16,186.0,100.0,JDK0.5-1-1,66170.0,jython,24946.09,100.0
17,185.0,100.0,JDK0.5-1-1,68242.0,jython,24946.09,100.0
18,191.0,100.0,JDK0.5-1-1,69609.0,jython,24946.09,100.0
19,0.0,100.0,JDK0.5-1-1,0.0,jython,100.0,100.0
20,36.0,100.0,JDK0.5-1-1,26985.0,jython,100.0,100.0
21,0.0,100.0,JDK0.5-1-1,49695.0,jython,24946.09,100.0
22,184.0,100.0,JDK0.5-1-1,56444.0,jython,24946.09,100.0
23,144.0,100.0,JDK0.5-1-1,65584.0,jython,24946.09,100.0
24,171.0,100.0,JDK0.5-1-1,67035.0,jython,24946.09,100.0
25,191.0,100.0,JDK0.5-1-1,68277.0,jython,24946.09,100.0
26,171.0,100.0,JDK0.5-1-1,70378.0,jython,24946.09,100.0
27,224.0,100.0,JDK0.5-1-1,71725.0,jython,24946.09,100.0
28,0.0,100.0,JDK0.5-1-1,0.0,jython,100.0,100.0
29,64.0,100.0,JDK0.5-1-1,24841.0,jython,100.0,100.0
30,151.0,100.0,JDK0.5-1-1,44635.0,jython,24946.09,100.0
31,192.0,100.0,JDK0.5-1-1,51151.0,jython,24946.09,100.0
32,247.0,100.0,JDK0.5-1-1,59576.0,jython,24946.09,100.0
33,259.0,100.0,JDK0.5-1-1,61048.0,jython,24946.09,100.0
34,246.0,100.0,JDK0.5-1-1,62262.0,jython,24946.09,100.0
35,133.0,100.0,JDK0.5-1-1,64302.0,jython,24946.09,100.0
36,161.0,100.0,JDK0.5-1-1,65659.0,jython,24946.09,100.0
37,0.0,100.0,JDK0.5-1-1,0.0,jython,100.0,100.0
38,54.0,100.0,JDK0.5-1-1,29997.0,jython,100.0,100.0
39,174.0,100.0,JDK0.5-1-1,58093.0,jython,24946.09,100.0
40,196.0,100.0,JDK0.5-1-1,64880.0,jython,24946.09,100.0
41,282.0,100.0,JDK0.5-1-1,73954.0,jython,24946.09,100.0
42,262.0,100.0,JDK0.5-1-1,75414.0,jython,24946.09,100.0
43,218.0,100.0,JDK0.5-1-1,76597.0,jython,24946.09,100.0
44,276.0,100.0,JDK0.5-1-1,78641.0,jython,24946.09,100.0
45,231.0,100.0,JDK0.5-1-1,79985.0,jython,24946.09,100.0
46,0.0,100.0,JDK0.5-1-1,0.0,jython,100.0,100.0
47,33.0,100.0,JDK0.5-1-1,44074.0,jython,100.0,100.0
48,155.0,100.0,JDK0.5-1-1,70851.0,jython,24946.09,100.0
49,194.0,100.0,JDK0.5-1-1,78129.0,jython,24946.09,100.0
50,245.0,100.0,JDK0.5-1-1,87468.0,jython,24946.09,100.0
51,249.0,100.0,JDK0.5-1-1,88958.0,jython,24946.09,100.0
52,273.0,100.0,JDK0.5-1-1,90200.0,jython,24946.09,100.0
53,161.0,100.0,JDK0.5-1-1,92269.0,jython,24946.09,100.0
54,246.0,100.0,JDK0.5-1-1,93642.0,jython,24946.09,100.0
55,0.0,100.0,JDK0.5-1-1,0.0,jython,100.0,100.0
56,32.0,100.0,JDK0.5-1-1,35255.0,jython,100.0,100.0
