,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDK1.5-1-1,0.0,sunflow,100.0,100.0
1,34.0,100.0,JDK1.5-1-1,538.0,sunflow,100.0,100.0
2,120.0,100.0,JDK1.5-1-1,580.0,sunflow,24946.09,100.0
3,131.0,100.0,JDK1.5-1-1,3007.0,sunflow,24946.09,100.0
4,137.0,100.0,JDK1.5-1-1,4580.0,sunflow,24946.09,100.0
5,162.0,100.0,JDK1.5-1-1,5830.0,sunflow,24946.09,100.0
6,0.0,100.0,JDK1.5-1-1,0.0,sunflow,100.0,100.0
7,35.0,100.0,JDK1.5-1-1,430.0,sunflow,100.0,100.0
8,120.0,100.0,JDK1.5-1-1,469.0,sunflow,24946.09,100.0
9,137.0,100.0,JDK1.5-1-1,2744.0,sunflow,24946.09,100.0
10,145.0,100.0,JDK1.5-1-1,4215.0,sunflow,24946.09,100.0
11,139.0,100.0,JDK1.5-1-1,5392.0,sunflow,24946.09,100.0
12,0.0,100.0,JDK1.5-1-1,0.0,sunflow,100.0,100.0
13,31.0,100.0,JDK1.5-1-1,792.0,sunflow,100.0,100.0
14,101.0,100.0,JDK1.5-1-1,841.0,sunflow,24946.09,100.0
15,125.0,100.0,JDK1.5-1-1,3191.0,sunflow,24946.09,100.0
16,114.0,100.0,JDK1.5-1-1,4583.0,sunflow,24946.09,100.0
17,209.0,100.0,JDK1.5-1-1,5830.0,sunflow,24946.09,100.0
18,0.0,100.0,JDK1.5-1-1,0.0,sunflow,100.0,100.0
19,30.0,100.0,JDK1.5-1-1,738.0,sunflow,100.0,100.0
20,101.0,100.0,JDK1.5-1-1,785.0,sunflow,24946.09,100.0
21,184.0,100.0,JDK1.5-1-1,3016.0,sunflow,24946.09,100.0
22,152.0,100.0,JDK1.5-1-1,4639.0,sunflow,24946.09,100.0
23,226.0,100.0,JDK1.5-1-1,5766.0,sunflow,24946.09,100.0
24,0.0,100.0,JDK1.5-1-1,0.0,sunflow,100.0,100.0
25,35.0,100.0,JDK1.5-1-1,483.0,sunflow,100.0,100.0
26,126.0,100.0,JDK1.5-1-1,524.0,sunflow,24946.09,100.0
27,161.0,100.0,JDK1.5-1-1,2983.0,sunflow,24946.09,100.0
28,199.0,100.0,JDK1.5-1-1,4249.0,sunflow,24946.09,100.0
29,184.0,100.0,JDK1.5-1-1,5587.0,sunflow,24946.09,100.0
30,0.0,100.0,JDK1.5-1-1,0.0,sunflow,100.0,100.0
31,35.0,100.0,JDK1.5-1-1,452.0,sunflow,100.0,100.0
32,121.0,100.0,JDK1.5-1-1,490.0,sunflow,24946.09,100.0
33,140.0,100.0,JDK1.5-1-1,3010.0,sunflow,24946.09,100.0
