Run,Time,JVM
1,11733,JDK8-9-9
2,11884,JDK8-9-9
3,11319,JDK8-9-9
4,11639,JDK8-9-9
5,12103,JDK8-9-9
6,12834,JDK8-9-9
7,11992,JDK8-9-9
8,12084,JDK8-9-9
9,12091,JDK8-9-9
10,11457,JDK8-9-9
11,12518,JDK8-9-9
12,11256,JDK8-9-9
13,12087,JDK8-9-9
14,11294,JDK8-9-9
15,12640,JDK8-9-9
16,11710,JDK8-9-9
1,12134,JDKE
2,12203,JDKE
3,11134,JDKE
4,11397,JDKE
5,11645,JDKE
6,11901,JDKE
7,11632,JDKE
8,11989,JDKE
9,11735,JDKE
10,12159,JDKE
11,11162,JDKE
12,11858,JDKE
13,11307,JDKE
14,11517,JDKE
15,11285,JDKE
16,11688,JDKE
1,11870,JDK3-2-1
2,11904,JDK3-2-1
3,12081,JDK3-2-1
4,11901,JDK3-2-1
5,11177,JDK3-2-1
6,11819,JDK3-2-1
7,11290,JDK3-2-1
8,11456,JDK3-2-1
9,12039,JDK3-2-1
10,12202,JDK3-2-1
11,11314,JDK3-2-1
12,12729,JDK3-2-1
13,11920,JDK3-2-1
14,11292,JDK3-2-1
15,12263,JDK3-2-1
16,12071,JDK3-2-1
1,11345,JDK5-4-4
2,12166,JDK5-4-4
3,12144,JDK5-4-4
4,11279,JDK5-4-4
5,11942,JDK5-4-4
6,11676,JDK5-4-4
7,12102,JDK5-4-4
8,12351,JDK5-4-4
9,12603,JDK5-4-4
10,11628,JDK5-4-4
11,11362,JDK5-4-4
12,12532,JDK5-4-4
13,11173,JDK5-4-4
14,12441,JDK5-4-4
15,11400,JDK5-4-4
16,12320,JDK5-4-4
1,12154,JDK1-1-3
2,11518,JDK1-1-3
3,11259,JDK1-1-3
4,11394,JDK1-1-3
5,11540,JDK1-1-3
6,12214,JDK1-1-3
7,11945,JDK1-1-3
8,11709,JDK1-1-3
9,12175,JDK1-1-3
10,12264,JDK1-1-3
11,11210,JDK1-1-3
12,12094,JDK1-1-3
13,11864,JDK1-1-3
14,11368,JDK1-1-3
15,12255,JDK1-1-3
16,12177,JDK1-1-3
1,13056,JDK5-6-7
2,12571,JDK5-6-7
3,11212,JDK5-6-7
4,12418,JDK5-6-7
5,11477,JDK5-6-7
6,12443,JDK5-6-7
7,11891,JDK5-6-7
8,12131,JDK5-6-7
9,11448,JDK5-6-7
10,12200,JDK5-6-7
11,11475,JDK5-6-7
12,12197,JDK5-6-7
13,12478,JDK5-6-7
14,12113,JDK5-6-7
15,11806,JDK5-6-7
16,12419,JDK5-6-7
1,11265,JDK3-2-3
2,11512,JDK3-2-3
3,11102,JDK3-2-3
4,11408,JDK3-2-3
5,11454,JDK3-2-3
6,12047,JDK3-2-3
7,11178,JDK3-2-3
8,11343,JDK3-2-3
9,11906,JDK3-2-3
10,12107,JDK3-2-3
11,12126,JDK3-2-3
12,12216,JDK3-2-3
13,11971,JDK3-2-3
14,11401,JDK3-2-3
15,11696,JDK3-2-3
16,12174,JDK3-2-3
1,11500,JDK2-3-2
2,12107,JDK2-3-2
3,11792,JDK2-3-2
4,11659,JDK2-3-2
5,12261,JDK2-3-2
6,11971,JDK2-3-2
7,12171,JDK2-3-2
8,11829,JDK2-3-2
9,11541,JDK2-3-2
10,11748,JDK2-3-2
11,11836,JDK2-3-2
12,12030,JDK2-3-2
13,11689,JDK2-3-2
14,12088,JDK2-3-2
15,12378,JDK2-3-2
16,12233,JDK2-3-2
1,12087,JDK2-2-2
2,12198,JDK2-2-2
3,11925,JDK2-2-2
4,12160,JDK2-2-2
5,11595,JDK2-2-2
6,11854,JDK2-2-2
7,12083,JDK2-2-2
8,12078,JDK2-2-2
9,12858,JDK2-2-2
10,12881,JDK2-2-2
11,12373,JDK2-2-2
12,12097,JDK2-2-2
13,12577,JDK2-2-2
14,12360,JDK2-2-2
15,12320,JDK2-2-2
16,12597,JDK2-2-2
1,12413,JDK2-2-1
2,11459,JDK2-2-1
3,12392,JDK2-2-1
4,11251,JDK2-2-1
5,12136,JDK2-2-1
6,11584,JDK2-2-1
7,11543,JDK2-2-1
8,12124,JDK2-2-1
9,12510,JDK2-2-1
10,11485,JDK2-2-1
11,12236,JDK2-2-1
12,12087,JDK2-2-1
13,11270,JDK2-2-1
14,12193,JDK2-2-1
15,12133,JDK2-2-1
16,11724,JDK2-2-1
1,11527,JDKF
2,12118,JDKF
3,12151,JDKF
4,12180,JDKF
5,12190,JDKF
6,11301,JDKF
7,12142,JDKF
8,11175,JDKF
9,12496,JDKF
10,12234,JDKF
11,12060,JDKF
12,12595,JDKF
13,12160,JDKF
14,12443,JDKF
15,12162,JDKF
16,11119,JDKF
