Run,Time,JVM
1,6327,JDK8-9-9
2,6832,JDK8-9-9
3,7261,JDK8-9-9
4,7606,JDK8-9-9
5,7033,JDK8-9-9
6,6623,JDK8-9-9
7,6318,JDK8-9-9
8,7369,JDK8-9-9
9,7325,JDK8-9-9
10,6164,JDK8-9-9
11,6963,JDK8-9-9
12,7079,JDK8-9-9
13,7276,JDK8-9-9
14,6796,JDK8-9-9
15,7462,JDK8-9-9
16,7129,JDK8-9-9
1,7811,JDK5-6-7
2,8571,JDK5-6-7
3,8615,JDK5-6-7
4,9019,JDK5-6-7
5,8099,JDK5-6-7
6,8077,JDK5-6-7
7,9307,JDK5-6-7
8,8973,JDK5-6-7
9,8177,JDK5-6-7
10,8716,JDK5-6-7
11,8364,JDK5-6-7
12,8168,JDK5-6-7
13,8663,JDK5-6-7
14,7986,JDK5-6-7
15,8443,JDK5-6-7
16,8217,JDK5-6-7
1,4050,JDKF
2,3992,JDKF
3,4072,JDKF
4,4158,JDKF
5,3969,JDKF
6,4076,JDKF
7,3867,JDKF
8,4225,JDKF
9,3402,JDKF
10,3993,JDKF
11,4151,JDKF
12,3896,JDKF
13,3524,JDKF
14,3471,JDKF
15,3997,JDKF
16,3862,JDKF
1,9730,JDK2-3-2
2,10927,JDK2-3-2
3,11259,JDK2-3-2
4,9528,JDK2-3-2
5,10059,JDK2-3-2
6,10279,JDK2-3-2
7,9722,JDK2-3-2
8,10560,JDK2-3-2
9,9477,JDK2-3-2
10,10432,JDK2-3-2
11,10341,JDK2-3-2
12,10301,JDK2-3-2
13,10178,JDK2-3-2
14,10178,JDK2-3-2
15,9935,JDK2-3-2
16,10381,JDK2-3-2
1,14653,JDK1-1-3
2,13460,JDK1-1-3
3,14774,JDK1-1-3
4,12932,JDK1-1-3
5,13714,JDK1-1-3
6,14551,JDK1-1-3
7,13319,JDK1-1-3
8,14835,JDK1-1-3
9,14173,JDK1-1-3
10,13443,JDK1-1-3
11,12645,JDK1-1-3
12,14196,JDK1-1-3
13,15175,JDK1-1-3
14,14784,JDK1-1-3
15,13545,JDK1-1-3
16,14001,JDK1-1-3
1,8518,JDK5-4-4
2,7993,JDK5-4-4
3,7831,JDK5-4-4
4,8860,JDK5-4-4
5,8620,JDK5-4-4
6,8558,JDK5-4-4
7,8505,JDK5-4-4
8,7492,JDK5-4-4
9,8543,JDK5-4-4
10,8448,JDK5-4-4
11,8135,JDK5-4-4
12,8873,JDK5-4-4
13,8013,JDK5-4-4
14,8325,JDK5-4-4
15,7902,JDK5-4-4
16,9126,JDK5-4-4
1,10410,JDK2-2-2
2,9789,JDK2-2-2
3,8968,JDK2-2-2
4,10767,JDK2-2-2
5,10432,JDK2-2-2
6,9369,JDK2-2-2
7,8925,JDK2-2-2
8,10923,JDK2-2-2
9,10583,JDK2-2-2
10,9635,JDK2-2-2
11,9963,JDK2-2-2
12,10518,JDK2-2-2
13,10401,JDK2-2-2
14,10216,JDK2-2-2
15,10037,JDK2-2-2
16,10015,JDK2-2-2
1,10306,JDK3-2-3
2,10170,JDK3-2-3
3,10149,JDK3-2-3
4,9517,JDK3-2-3
5,9406,JDK3-2-3
6,9780,JDK3-2-3
7,11416,JDK3-2-3
8,9222,JDK3-2-3
9,10524,JDK3-2-3
10,10524,JDK3-2-3
11,8855,JDK3-2-3
12,10275,JDK3-2-3
13,10296,JDK3-2-3
14,9544,JDK3-2-3
15,15387,JDK3-2-3
16,10329,JDK3-2-3
1,9859,JDK3-2-1
2,10688,JDK3-2-1
3,10164,JDK3-2-1
4,10497,JDK3-2-1
5,10262,JDK3-2-1
6,9886,JDK3-2-1
7,10214,JDK3-2-1
8,10176,JDK3-2-1
9,10394,JDK3-2-1
10,9580,JDK3-2-1
11,10013,JDK3-2-1
12,10020,JDK3-2-1
13,9749,JDK3-2-1
14,10769,JDK3-2-1
15,10876,JDK3-2-1
16,9711,JDK3-2-1
1,9893,JDK2-2-1
2,9862,JDK2-2-1
3,9707,JDK2-2-1
4,10156,JDK2-2-1
5,10023,JDK2-2-1
6,10498,JDK2-2-1
7,9043,JDK2-2-1
8,9756,JDK2-2-1
9,10189,JDK2-2-1
10,10073,JDK2-2-1
11,10068,JDK2-2-1
12,10685,JDK2-2-1
13,9650,JDK2-2-1
14,8591,JDK2-2-1
15,9708,JDK2-2-1
16,10880,JDK2-2-1
1,4178,JDKE
2,3812,JDKE
3,3568,JDKE
4,4374,JDKE
5,4218,JDKE
6,4290,JDKE
7,3525,JDKE
8,4037,JDKE
9,4109,JDKE
10,3938,JDKE
11,3556,JDKE
12,3590,JDKE
13,3805,JDKE
14,4077,JDKE
15,4061,JDKE
16,4153,JDKE
