Run,Time,JVM
1,1011,JDK5-4-4
2,790,JDK5-4-4
3,713,JDK5-4-4
4,785,JDK5-4-4
5,734,JDK5-4-4
6,755,JDK5-4-4
7,748,JDK5-4-4
8,711,JDK5-4-4
9,771,JDK5-4-4
10,739,JDK5-4-4
11,739,JDK5-4-4
12,815,JDK5-4-4
13,731,JDK5-4-4
14,760,JDK5-4-4
15,737,JDK5-4-4
16,756,JDK5-4-4
1,743,JDK3-2-1
2,757,JDK3-2-1
3,702,JDK3-2-1
4,799,JDK3-2-1
5,706,JDK3-2-1
6,761,JDK3-2-1
7,810,JDK3-2-1
8,815,JDK3-2-1
9,724,JDK3-2-1
10,739,JDK3-2-1
11,739,JDK3-2-1
12,681,JDK3-2-1
13,726,JDK3-2-1
14,740,JDK3-2-1
15,701,JDK3-2-1
16,690,JDK3-2-1
1,720,JDK8-9-9
2,876,JDK8-9-9
3,744,JDK8-9-9
4,792,JDK8-9-9
5,840,JDK8-9-9
6,804,JDK8-9-9
7,829,JDK8-9-9
8,823,JDK8-9-9
9,740,JDK8-9-9
10,772,JDK8-9-9
11,760,JDK8-9-9
12,864,JDK8-9-9
13,738,JDK8-9-9
14,787,JDK8-9-9
15,720,JDK8-9-9
16,814,JDK8-9-9
1,724,JDKE
2,754,JDKE
3,797,JDKE
4,837,JDKE
5,763,JDKE
6,732,JDKE
7,743,JDKE
8,854,JDKE
9,779,JDKE
10,726,JDKE
11,771,JDKE
12,712,JDKE
13,774,JDKE
14,758,JDKE
15,760,JDKE
16,722,JDKE
1,1266,JDKF
2,1332,JDKF
3,1228,JDKF
4,1245,JDKF
5,1343,JDKF
6,1263,JDKF
7,1181,JDKF
8,1325,JDKF
9,1248,JDKF
10,1242,JDKF
11,1259,JDKF
12,1293,JDKF
13,1299,JDKF
14,1318,JDKF
15,1251,JDKF
16,1178,JDKF
1,744,JDK2-2-1
2,741,JDK2-2-1
3,708,JDK2-2-1
4,738,JDK2-2-1
5,747,JDK2-2-1
6,881,JDK2-2-1
7,794,JDK2-2-1
8,736,JDK2-2-1
9,773,JDK2-2-1
10,771,JDK2-2-1
11,702,JDK2-2-1
12,712,JDK2-2-1
13,807,JDK2-2-1
14,785,JDK2-2-1
15,738,JDK2-2-1
16,756,JDK2-2-1
1,801,JDK2-2-2
2,921,JDK2-2-2
3,815,JDK2-2-2
4,831,JDK2-2-2
5,850,JDK2-2-2
6,809,JDK2-2-2
7,762,JDK2-2-2
8,827,JDK2-2-2
9,870,JDK2-2-2
10,759,JDK2-2-2
11,883,JDK2-2-2
12,888,JDK2-2-2
13,960,JDK2-2-2
14,892,JDK2-2-2
15,794,JDK2-2-2
16,806,JDK2-2-2
1,750,JDK2-3-2
2,808,JDK2-3-2
3,846,JDK2-3-2
4,774,JDK2-3-2
5,804,JDK2-3-2
6,797,JDK2-3-2
7,769,JDK2-3-2
8,685,JDK2-3-2
9,705,JDK2-3-2
10,804,JDK2-3-2
11,787,JDK2-3-2
12,769,JDK2-3-2
13,871,JDK2-3-2
14,790,JDK2-3-2
15,731,JDK2-3-2
16,717,JDK2-3-2
1,1040,JDK5-6-7
2,745,JDK5-6-7
3,761,JDK5-6-7
4,845,JDK5-6-7
5,739,JDK5-6-7
6,712,JDK5-6-7
7,788,JDK5-6-7
8,881,JDK5-6-7
9,789,JDK5-6-7
10,786,JDK5-6-7
11,965,JDK5-6-7
12,734,JDK5-6-7
13,835,JDK5-6-7
14,781,JDK5-6-7
15,781,JDK5-6-7
16,726,JDK5-6-7
1,734,JDK3-2-3
2,747,JDK3-2-3
3,841,JDK3-2-3
4,777,JDK3-2-3
5,795,JDK3-2-3
6,773,JDK3-2-3
7,809,JDK3-2-3
8,753,JDK3-2-3
9,719,JDK3-2-3
10,766,JDK3-2-3
11,863,JDK3-2-3
12,705,JDK3-2-3
13,744,JDK3-2-3
14,741,JDK3-2-3
15,737,JDK3-2-3
16,759,JDK3-2-3
1,918,JDK1-1-3
2,859,JDK1-1-3
3,973,JDK1-1-3
4,1048,JDK1-1-3
5,749,JDK1-1-3
6,829,JDK1-1-3
7,833,JDK1-1-3
8,1235,JDK1-1-3
9,835,JDK1-1-3
10,875,JDK1-1-3
11,1124,JDK1-1-3
12,860,JDK1-1-3
13,868,JDK1-1-3
14,764,JDK1-1-3
15,851,JDK1-1-3
16,876,JDK1-1-3
