,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDKE,67555.0,jython,100.0,100.0
1,81.0,100.0,JDKE,0.0,jython,100.0,100.0
2,145.0,100.0,JDKE,31099.0,jython,100.0,100.0
3,193.0,100.0,JDKE,49896.0,jython,100.0,100.0
4,210.0,100.0,JDKE,50166.0,jython,100.0,100.0
5,204.0,100.0,JDKE,53123.0,jython,100.0,100.0
6,119.0,100.0,JDKE,53289.0,jython,100.0,100.0
7,253.0,100.0,JDKE,53308.0,jython,100.0,100.0
8,259.0,100.0,JDKE,53449.0,jython,100.0,100.0
9,257.0,100.0,JDKE,53548.0,jython,100.0,100.0
10,256.0,100.0,JDKE,53614.0,jython,100.0,100.0
11,246.0,100.0,JDKE,53655.0,jython,100.0,100.0
12,231.0,100.0,JDKE,53690.0,jython,100.0,100.0
13,212.0,100.0,JDKE,53713.0,jython,100.0,100.0
14,247.0,100.0,JDKE,53819.0,jython,100.0,100.0
15,232.0,100.0,JDKE,53886.0,jython,100.0,100.0
16,224.0,100.0,JDKE,53953.0,jython,100.0,100.0
17,205.0,100.0,JDKE,54017.0,jython,100.0,100.0
18,248.0,100.0,JDKE,54133.0,jython,100.0,100.0
19,245.0,100.0,JDKE,54160.0,jython,100.0,100.0
20,18.0,100.0,JDKE,54174.0,jython,100.0,100.0
21,242.0,100.0,JDKE,54309.0,jython,100.0,100.0
22,238.0,100.0,JDKE,54517.0,jython,100.0,100.0
23,238.0,100.0,JDKE,54558.0,jython,100.0,100.0
24,235.0,100.0,JDKE,54586.0,jython,100.0,100.0
25,240.0,100.0,JDKE,54614.0,jython,100.0,100.0
26,251.0,100.0,JDKE,54647.0,jython,100.0,100.0
27,0.0,100.0,JDKE,60482.0,jython,100.0,100.0
28,97.0,100.0,JDKE,0.0,jython,100.0,100.0
29,128.0,100.0,JDKE,32309.0,jython,100.0,100.0
30,147.0,100.0,JDKE,55572.0,jython,100.0,100.0
31,114.0,100.0,JDKE,55805.0,jython,100.0,100.0
32,127.0,100.0,JDKE,58355.0,jython,100.0,100.0
33,11.0,100.0,JDKE,58502.0,jython,100.0,100.0
34,170.0,100.0,JDKE,58517.0,jython,100.0,100.0
35,166.0,100.0,JDKE,58645.0,jython,100.0,100.0
36,171.0,100.0,JDKE,58731.0,jython,100.0,100.0
37,163.0,100.0,JDKE,58795.0,jython,100.0,100.0
38,175.0,100.0,JDKE,58836.0,jython,100.0,100.0
39,165.0,100.0,JDKE,58866.0,jython,100.0,100.0
40,166.0,100.0,JDKE,58882.0,jython,100.0,100.0
41,158.0,100.0,JDKE,58926.0,jython,100.0,100.0
42,170.0,100.0,JDKE,59014.0,jython,100.0,100.0
43,153.0,100.0,JDKE,59074.0,jython,100.0,100.0
44,217.0,100.0,JDKE,59100.0,jython,100.0,100.0
45,236.0,100.0,JDKE,59124.0,jython,100.0,100.0
46,232.0,100.0,JDKE,59154.0,jython,100.0,100.0
47,162.0,100.0,JDKE,59283.0,jython,100.0,100.0
48,236.0,100.0,JDKE,59304.0,jython,100.0,100.0
49,259.0,100.0,JDKE,59327.0,jython,100.0,100.0
50,145.0,100.0,JDKE,59545.0,jython,100.0,100.0
51,176.0,100.0,JDKE,59623.0,jython,100.0,100.0
52,229.0,100.0,JDKE,59661.0,jython,100.0,100.0
53,238.0,100.0,JDKE,59835.0,jython,100.0,100.0
54,219.0,100.0,JDKE,59917.0,jython,100.0,100.0
55,224.0,100.0,JDKE,59996.0,jython,100.0,100.0
56,176.0,100.0,JDKE,60077.0,jython,100.0,100.0
57,222.0,100.0,JDKE,60135.0,jython,100.0,100.0
58,219.0,100.0,JDKE,60153.0,jython,100.0,100.0
59,237.0,100.0,JDKE,60172.0,jython,100.0,100.0
60,230.0,100.0,JDKE,60190.0,jython,100.0,100.0
61,0.0,100.0,JDKE,78500.0,jython,100.0,100.0
62,86.0,100.0,JDKE,0.0,jython,100.0,100.0
63,78.0,100.0,JDKE,29147.0,jython,100.0,100.0
64,84.0,100.0,JDKE,48434.0,jython,100.0,100.0
65,87.0,100.0,JDKE,48661.0,jython,100.0,100.0
66,82.0,100.0,JDKE,51201.0,jython,100.0,100.0
67,8.0,100.0,JDKE,51367.0,jython,100.0,100.0
68,166.0,100.0,JDKE,51385.0,jython,100.0,100.0
69,170.0,100.0,JDKE,51518.0,jython,100.0,100.0
70,159.0,100.0,JDKE,51610.0,jython,100.0,100.0
71,173.0,100.0,JDKE,51679.0,jython,100.0,100.0
72,166.0,100.0,JDKE,51729.0,jython,100.0,100.0
73,160.0,100.0,JDKE,51765.0,jython,100.0,100.0
