,Time,GC Util,heapSize,numThreads,GCInterval,Container,JVM
0,0.0,66.0,100,100.0,100,1,JDK2-2-2
1,0.0,66.0,100,100.0,100,1,JDK2-2-2
2,174.0,0.0,100,100.0,100,1,JDK2-2-2
3,174.0,0.0,100,100.0,100,1,JDK2-2-2
4,376.0,107.0,100,100.0,100,1,JDK2-2-2
5,376.0,107.0,100,100.0,100,1,JDK2-2-2
6,577.0,128.0,100,100.0,100,1,JDK2-2-2
7,577.0,128.0,100,100.0,100,1,JDK2-2-2
8,3063.0,320.0,100,100.0,100,1,JDK2-2-2
9,3063.0,320.0,100,100.0,100,1,JDK2-2-2
10,4848.0,303.0,100,100.0,100,1,JDK2-2-2
11,4848.0,303.0,100,100.0,100,1,JDK2-2-2
12,9329.0,276.0,100,100.0,100,1,JDK2-2-2
13,9329.0,276.0,100,100.0,100,1,JDK2-2-2
14,13437.0,189.0,100,100.0,100,1,JDK2-2-2
15,13437.0,189.0,100,100.0,100,1,JDK2-2-2
16,18368.0,202.0,100,100.0,100,1,JDK2-2-2
17,18368.0,202.0,100,100.0,100,1,JDK2-2-2
18,22359.0,196.0,100,100.0,100,1,JDK2-2-2
19,22359.0,196.0,100,100.0,100,1,JDK2-2-2
20,26182.0,197.0,100,100.0,100,1,JDK2-2-2
21,26182.0,197.0,100,100.0,100,1,JDK2-2-2
22,31089.0,171.0,100,100.0,100,1,JDK2-2-2
23,31089.0,171.0,100,100.0,100,1,JDK2-2-2
24,36914.0,222.0,100,100.0,100,1,JDK2-2-2
25,36914.0,222.0,100,100.0,100,1,JDK2-2-2
26,42856.0,158.0,100,100.0,100,1,JDK2-2-2
27,42856.0,158.0,100,100.0,100,1,JDK2-2-2
28,47865.0,174.0,100,100.0,100,1,JDK2-2-2
29,47865.0,174.0,100,100.0,100,1,JDK2-2-2
30,53123.0,190.0,100,100.0,100,1,JDK2-2-2
31,53123.0,190.0,100,100.0,100,1,JDK2-2-2
32,59256.0,142.0,100,100.0,100,1,JDK2-2-2
33,59256.0,142.0,100,100.0,100,1,JDK2-2-2
34,62880.0,168.0,100,100.0,100,1,JDK2-2-2
35,62880.0,168.0,100,100.0,100,1,JDK2-2-2
36,64482.0,158.0,100,100.0,100,1,JDK2-2-2
37,64482.0,158.0,100,100.0,100,1,JDK2-2-2
