,Time,GC Util,heapSize,numThreads,GCInterval,Container,JVM
0,0.0,4.0,100.0,100.0,112.85,1,JDK1-1-3
1,0.0,4.0,100.0,100.0,100.0,1,JDK1-1-3
2,48.0,0.0,100.0,100.0,100.0,1,JDK1-1-3
3,48.0,0.0,100.0,100.0,0.05,1,JDK1-1-3
4,72.0,0.0,100.0,100.0,0.05,1,JDK1-1-3
5,72.0,0.0,100.0,100.0,0.05,1,JDK1-1-3
6,98.0,61.0,100.0,100.0,0.05,1,JDK1-1-3
7,98.0,61.0,100.0,100.0,0.05,1,JDK1-1-3
8,138.0,61.0,100.0,100.0,0.05,1,JDK1-1-3
9,138.0,61.0,100.0,100.0,101.65,1,JDK1-1-3
10,162.0,33.0,100.0,100.0,101.65,1,JDK1-1-3
11,162.0,33.0,100.0,100.0,102.45,1,JDK1-1-3
12,187.0,45.0,100.0,100.0,102.45,1,JDK1-1-3
13,187.0,45.0,100.0,100.0,104.45,1,JDK1-1-3
14,230.0,18.0,106.25,100.0,104.45,1,JDK1-1-3
15,230.0,18.0,106.25,100.0,104.45,1,JDK1-1-3
16,264.0,94.0,106.25,100.0,104.45,1,JDK1-1-3
17,264.0,94.0,106.25,100.0,100.05,1,JDK1-1-3
18,296.0,18.0,106.25,100.0,100.05,1,JDK1-1-3
19,296.0,18.0,106.25,100.0,102.05,1,JDK1-1-3
20,357.0,16.0,106.25,100.0,102.05,1,JDK1-1-3
21,357.0,16.0,106.25,100.0,104.05,1,JDK1-1-3
22,372.0,6.0,106.25,100.0,104.05,1,JDK1-1-3
23,372.0,6.0,106.25,100.0,104.45,1,JDK1-1-3
24,380.0,68.0,106.25,100.0,104.45,1,JDK1-1-3
25,380.0,68.0,106.25,100.0,99.65,1,JDK1-1-3
26,389.0,107.0,106.25,100.0,99.65,1,JDK1-1-3
27,389.0,107.0,106.25,100.0,99.25,1,JDK1-1-3
28,422.0,90.0,106.25,100.0,99.25,1,JDK1-1-3
29,422.0,90.0,106.25,100.0,100.45,1,JDK1-1-3
30,529.0,33.0,106.25,100.0,100.45,1,JDK1-1-3
31,529.0,33.0,106.25,100.0,102.45,1,JDK1-1-3
32,554.0,10.0,106.25,100.0,102.45,1,JDK1-1-3
33,554.0,10.0,106.25,100.0,103.65,1,JDK1-1-3
34,597.0,35.0,106.25,100.0,103.65,1,JDK1-1-3
35,597.0,35.0,106.25,100.0,105.65,1,JDK1-1-3
36,604.0,22.0,106.25,100.0,105.65,1,JDK1-1-3
37,604.0,22.0,106.25,100.0,96.85,1,JDK1-1-3
38,1497.0,191.0,142.97,100.0,96.85,1,JDK1-1-3
39,1497.0,191.0,142.97,100.0,96.85,1,JDK1-1-3
40,2501.0,33.0,143.75,100.0,96.85,1,JDK1-1-3
41,2501.0,33.0,143.75,100.0,96.85,1,JDK1-1-3
42,3278.0,51.0,144.53,100.0,96.85,1,JDK1-1-3
43,3278.0,51.0,144.53,100.0,96.85,1,JDK1-1-3
44,3766.0,78.0,145.31,100.0,96.85,1,JDK1-1-3
45,3766.0,78.0,145.31,100.0,96.85,1,JDK1-1-3
46,4177.0,74.0,146.09,100.0,96.85,1,JDK1-1-3
47,4177.0,74.0,146.09,100.0,96.85,1,JDK1-1-3
48,4534.0,71.0,146.88,100.0,96.85,1,JDK1-1-3
49,4534.0,71.0,146.88,100.0,96.85,1,JDK1-1-3
50,4965.0,37.0,147.66,100.0,96.85,1,JDK1-1-3
51,4965.0,37.0,147.66,100.0,96.85,1,JDK1-1-3
52,5374.0,29.0,147.66,100.0,96.85,1,JDK1-1-3
53,5374.0,29.0,147.66,100.0,102.45,1,JDK1-1-3
54,5705.0,16.0,147.66,100.0,102.45,1,JDK1-1-3
55,5705.0,16.0,147.66,100.0,104.85,1,JDK1-1-3
56,6520.0,1.0,158.59,100.0,104.85,1,JDK1-1-3
57,6520.0,1.0,158.59,100.0,104.85,1,JDK1-1-3
58,7283.0,27.0,159.38,100.0,104.85,1,JDK1-1-3
59,7283.0,27.0,159.38,100.0,104.85,1,JDK1-1-3
60,7981.0,53.0,160.16,100.0,104.85,1,JDK1-1-3
61,7981.0,53.0,160.16,100.0,104.85,1,JDK1-1-3
62,8625.0,29.0,160.16,100.0,104.85,1,JDK1-1-3
63,8625.0,29.0,160.16,100.0,104.05,1,JDK1-1-3
64,9129.0,2.0,160.16,100.0,104.05,1,JDK1-1-3
65,9129.0,2.0,160.16,100.0,106.05,1,JDK1-1-3
66,9154.0,0.0,160.94,6.25,106.05,1,JDK1-1-3
67,9154.0,0.0,160.94,6.25,106.05,1,JDK1-1-3
68,10020.0,61.0,161.72,100.0,106.05,1,JDK1-1-3
69,10020.0,61.0,161.72,100.0,106.05,1,JDK1-1-3
70,10994.0,30.0,161.72,100.0,106.05,1,JDK1-1-3
71,10994.0,30.0,161.72,100.0,101.25,1,JDK1-1-3
72,11020.0,2.0,162.5,100.0,101.25,1,JDK1-1-3
73,11020.0,2.0,162.5,100.0,101.25,1,JDK1-1-3
74,11856.0,53.0,162.5,100.0,101.25,1,JDK1-1-3
75,11856.0,53.0,162.5,100.0,103.25,1,JDK1-1-3
76,12785.0,1.0,162.5,100.0,103.25,1,JDK1-1-3
77,12785.0,1.0,162.5,100.0,105.65,1,JDK1-1-3
78,13752.0,0.0,162.5,100.0,105.65,1,JDK1-1-3
79,13752.0,0.0,162.5,100.0,108.05,1,JDK1-1-3
80,15042.0,0.0,162.5,100.0,108.05,1,JDK1-1-3
81,15042.0,0.0,162.5,100.0,110.05,1,JDK1-1-3
82,16023.0,0.0,162.5,100.0,110.05,1,JDK1-1-3
83,16023.0,0.0,162.5,100.0,112.45,1,JDK1-1-3
84,17007.0,0.0,162.5,100.0,112.45,1,JDK1-1-3
85,17007.0,0.0,162.5,100.0,102.45,1,JDK1-1-3
