Run,Time,JVM
1,1692,JDKD
2,1594,JDKD
3,1689,JDKD
4,1620,JDKD
5,1621,JDKD
6,1639,JDKD
7,1566,JDKD
8,1673,JDKD
9,1546,JDKD
10,1633,JDKD
11,1633,JDKD
12,1690,JDKD
13,1487,JDKD
14,1709,JDKD
15,1601,JDKD
16,1595,JDKD
1,1632,JDKP
2,1652,JDKP
3,1706,JDKP
4,1660,JDKP
5,1701,JDKP
6,1653,JDKP
7,1643,JDKP
8,1655,JDKP
9,1680,JDKP
10,1629,JDKP
11,1749,JDKP
12,1810,JDKP
13,1556,JDKP
14,1614,JDKP
15,1694,JDKP
16,1633,JDKP
1,1872,JDKE
2,2508,JDKE
3,1774,JDKE
4,1816,JDKE
5,1697,JDKE
6,2148,JDKE
7,1649,JDKE
8,1780,JDKE
9,1750,JDKE
10,1775,JDKE
11,1910,JDKE
12,1985,JDKE
13,1861,JDKE
14,1810,JDKE
15,1806,JDKE
16,1702,JDKE
1,1642,JDKB
2,1726,JDKB
3,1636,JDKB
4,1576,JDKB
5,1727,JDKB
6,1718,JDKB
7,1657,JDKB
8,1685,JDKB
9,1702,JDKB
10,1694,JDKB
11,1683,JDKB
12,1697,JDKB
13,1643,JDKB
14,1614,JDKB
15,1656,JDKB
16,1733,JDKB
1,1741,JDKI
2,1715,JDKI
3,1722,JDKI
4,1767,JDKI
5,1763,JDKI
6,1761,JDKI
7,1669,JDKI
8,1761,JDKI
9,1709,JDKI
10,1625,JDKI
11,1816,JDKI
12,1812,JDKI
13,1728,JDKI
14,1661,JDKI
15,1650,JDKI
16,1660,JDKI
1,1796,JDKG
2,1726,JDKG
3,1853,JDKG
4,1717,JDKG
5,1795,JDKG
6,1788,JDKG
7,1836,JDKG
8,1743,JDKG
9,1721,JDKG
10,1670,JDKG
11,1737,JDKG
12,1766,JDKG
13,1751,JDKG
14,1731,JDKG
15,1669,JDKG
16,1663,JDKG
1,1783,JDKR
2,1674,JDKR
3,1712,JDKR
4,1616,JDKR
5,1681,JDKR
6,1721,JDKR
7,1588,JDKR
8,1640,JDKR
9,1756,JDKR
10,1803,JDKR
11,1695,JDKR
12,1617,JDKR
13,1684,JDKR
14,1708,JDKR
15,1623,JDKR
16,1836,JDKR
1,1777,JDKA
2,1923,JDKA
3,1766,JDKA
4,1843,JDKA
5,1820,JDKA
6,1616,JDKA
7,1782,JDKA
8,1829,JDKA
9,1771,JDKA
10,1811,JDKA
11,1839,JDKA
12,1691,JDKA
13,1822,JDKA
14,1787,JDKA
15,1748,JDKA
16,1775,JDKA
1,1596,JDKF
2,1781,JDKF
3,1534,JDKF
4,1711,JDKF
5,1562,JDKF
6,1638,JDKF
7,1567,JDKF
8,1604,JDKF
9,1644,JDKF
10,1633,JDKF
11,1472,JDKF
12,1653,JDKF
13,1607,JDKF
14,1621,JDKF
15,1643,JDKF
16,1560,JDKF
