Run,Time,JVM
1,747,JDKP
2,731,JDKP
3,727,JDKP
4,720,JDKP
5,723,JDKP
6,809,JDKP
7,703,JDKP
8,723,JDKP
9,726,JDKP
10,737,JDKP
11,767,JDKP
12,785,JDKP
13,788,JDKP
14,738,JDKP
15,749,JDKP
16,672,JDKP
1,691,JDKB
2,730,JDKB
3,727,JDKB
4,731,JDKB
5,708,JDKB
6,729,JDKB
7,664,JDKB
8,725,JDKB
9,711,JDKB
10,749,JDKB
11,760,JDKB
12,796,JDKB
13,696,JDKB
14,717,JDKB
15,733,JDKB
16,780,JDKB
1,1157,JDKF
2,1318,JDKF
3,1290,JDKF
4,1249,JDKF
5,1234,JDKF
6,1176,JDKF
7,1253,JDKF
8,1198,JDKF
9,1278,JDKF
10,1233,JDKF
11,1282,JDKF
12,1218,JDKF
13,1228,JDKF
14,1191,JDKF
15,1152,JDKF
16,1196,JDKF
1,757,JDKG
2,702,JDKG
3,697,JDKG
4,711,JDKG
5,713,JDKG
6,664,JDKG
7,709,JDKG
8,678,JDKG
9,752,JDKG
10,711,JDKG
11,841,JDKG
12,709,JDKG
13,724,JDKG
14,691,JDKG
15,747,JDKG
16,931,JDKG
1,760,JDKD
2,793,JDKD
3,733,JDKD
4,766,JDKD
5,720,JDKD
6,743,JDKD
7,760,JDKD
8,750,JDKD
9,715,JDKD
10,792,JDKD
11,727,JDKD
12,759,JDKD
13,778,JDKD
14,746,JDKD
15,849,JDKD
16,712,JDKD
1,710,JDKR
2,738,JDKR
3,796,JDKR
4,745,JDKR
5,733,JDKR
6,775,JDKR
7,799,JDKR
8,771,JDKR
9,710,JDKR
10,734,JDKR
11,851,JDKR
12,724,JDKR
13,786,JDKR
14,702,JDKR
15,694,JDKR
16,757,JDKR
1,769,JDKI
2,672,JDKI
3,703,JDKI
4,756,JDKI
5,726,JDKI
6,714,JDKI
7,746,JDKI
8,728,JDKI
9,744,JDKI
10,698,JDKI
11,728,JDKI
12,718,JDKI
13,716,JDKI
14,657,JDKI
15,833,JDKI
16,735,JDKI
1,891,JDKA
2,754,JDKA
3,875,JDKA
4,721,JDKA
5,694,JDKA
6,724,JDKA
7,696,JDKA
8,733,JDKA
9,707,JDKA
10,675,JDKA
11,691,JDKA
12,714,JDKA
13,788,JDKA
14,781,JDKA
15,698,JDKA
16,793,JDKA
