Run,Time,JVM
1,15945,JDK3-2-1
2,16739,JDK3-2-1
3,15591,JDK3-2-1
4,15470,JDK3-2-1
5,15284,JDK3-2-1
6,15717,JDK3-2-1
7,16164,JDK3-2-1
8,16273,JDK3-2-1
9,15782,JDK3-2-1
10,16088,JDK3-2-1
11,16577,JDK3-2-1
12,16696,JDK3-2-1
13,15690,JDK3-2-1
14,17729,JDK3-2-1
15,16328,JDK3-2-1
16,15876,JDK3-2-1
1,15713,JDK2-2-1
2,16529,JDK2-2-1
3,15875,JDK2-2-1
4,15848,JDK2-2-1
5,16168,JDK2-2-1
6,15450,JDK2-2-1
7,16227,JDK2-2-1
8,15454,JDK2-2-1
9,15786,JDK2-2-1
10,15994,JDK2-2-1
11,15114,JDK2-2-1
12,16529,JDK2-2-1
13,16980,JDK2-2-1
14,16001,JDK2-2-1
15,15859,JDK2-2-1
16,15794,JDK2-2-1
1,15280,JDK3-2-3
2,15973,JDK3-2-3
3,15806,JDK3-2-3
4,15372,JDK3-2-3
5,16402,JDK3-2-3
6,16271,JDK3-2-3
7,15989,JDK3-2-3
8,15522,JDK3-2-3
9,15970,JDK3-2-3
10,15607,JDK3-2-3
11,15326,JDK3-2-3
12,15637,JDK3-2-3
13,15625,JDK3-2-3
14,15797,JDK3-2-3
15,16786,JDK3-2-3
16,16062,JDK3-2-3
1,9723,JDKE
2,9724,JDKE
3,9598,JDKE
4,9580,JDKE
5,9675,JDKE
6,10348,JDKE
7,10354,JDKE
8,9337,JDKE
9,10571,JDKE
10,10981,JDKE
11,9742,JDKE
12,9871,JDKE
13,9731,JDKE
14,9809,JDKE
15,10189,JDKE
16,10041,JDKE
1,7767,JDKF
2,7836,JDKF
3,7860,JDKF
4,7848,JDKF
5,7952,JDKF
6,7334,JDKF
7,7627,JDKF
8,7224,JDKF
9,7307,JDKF
10,7866,JDKF
11,7546,JDKF
12,8155,JDKF
13,7287,JDKF
14,8834,JDKF
15,7805,JDKF
16,8192,JDKF
1,15607,JDK2-2-2
2,16079,JDK2-2-2
3,15788,JDK2-2-2
4,15507,JDK2-2-2
5,16075,JDK2-2-2
6,15789,JDK2-2-2
7,15008,JDK2-2-2
8,15713,JDK2-2-2
9,15980,JDK2-2-2
10,15207,JDK2-2-2
11,15641,JDK2-2-2
12,15685,JDK2-2-2
13,15598,JDK2-2-2
14,15596,JDK2-2-2
15,14987,JDK2-2-2
16,15867,JDK2-2-2
1,19924,JDK2-3-2
2,21140,JDK2-3-2
3,20598,JDK2-3-2
4,20396,JDK2-3-2
5,20074,JDK2-3-2
6,20707,JDK2-3-2
7,20713,JDK2-3-2
8,18752,JDK2-3-2
9,18573,JDK2-3-2
10,18265,JDK2-3-2
11,18825,JDK2-3-2
12,20415,JDK2-3-2
13,18933,JDK2-3-2
14,20535,JDK2-3-2
15,19596,JDK2-3-2
16,19944,JDK2-3-2
1,15114,JDK5-6-7
2,14588,JDK5-6-7
3,14607,JDK5-6-7
4,14636,JDK5-6-7
5,15164,JDK5-6-7
6,13882,JDK5-6-7
7,14434,JDK5-6-7
8,15460,JDK5-6-7
9,15186,JDK5-6-7
10,13862,JDK5-6-7
11,14160,JDK5-6-7
12,14801,JDK5-6-7
13,13931,JDK5-6-7
14,14383,JDK5-6-7
15,13833,JDK5-6-7
16,14779,JDK5-6-7
1,17768,JDK5-4-4
2,18259,JDK5-4-4
3,17977,JDK5-4-4
4,17956,JDK5-4-4
5,17728,JDK5-4-4
6,18168,JDK5-4-4
7,18331,JDK5-4-4
8,17529,JDK5-4-4
9,19460,JDK5-4-4
10,17920,JDK5-4-4
11,18243,JDK5-4-4
12,18028,JDK5-4-4
13,18104,JDK5-4-4
14,18601,JDK5-4-4
15,18058,JDK5-4-4
16,17530,JDK5-4-4
1,13111,JDK8-9-9
2,14620,JDK8-9-9
3,14356,JDK8-9-9
4,13486,JDK8-9-9
5,14188,JDK8-9-9
6,13492,JDK8-9-9
7,13426,JDK8-9-9
8,14034,JDK8-9-9
9,13263,JDK8-9-9
10,14120,JDK8-9-9
11,13685,JDK8-9-9
12,13962,JDK8-9-9
13,13506,JDK8-9-9
14,13733,JDK8-9-9
15,13216,JDK8-9-9
16,13125,JDK8-9-9
1,18838,JDK1-1-3
2,19335,JDK1-1-3
3,18784,JDK1-1-3
4,18736,JDK1-1-3
5,21034,JDK1-1-3
6,19357,JDK1-1-3
7,21507,JDK1-1-3
8,18920,JDK1-1-3
9,20907,JDK1-1-3
10,18929,JDK1-1-3
11,20661,JDK1-1-3
12,21256,JDK1-1-3
13,20699,JDK1-1-3
14,18320,JDK1-1-3
15,20512,JDK1-1-3
16,19285,JDK1-1-3
