Run,Time,JVM
1,3139,JDKF
2,3320,JDKF
3,2849,JDKF
4,3280,JDKF
5,3045,JDKF
6,2818,JDKF
7,3283,JDKF
8,3165,JDKF
9,3013,JDKF
10,2954,JDKF
11,2990,JDKF
12,3126,JDKF
13,3144,JDKF
14,2984,JDKF
15,3032,JDKF
16,3227,JDKF
1,2523,JDK2-2-2
2,2418,JDK2-2-2
3,2462,JDK2-2-2
4,2372,JDK2-2-2
5,2448,JDK2-2-2
6,2647,JDK2-2-2
7,2416,JDK2-2-2
8,2364,JDK2-2-2
9,2455,JDK2-2-2
10,2478,JDK2-2-2
11,2487,JDK2-2-2
12,2252,JDK2-2-2
13,2333,JDK2-2-2
14,2707,JDK2-2-2
15,2574,JDK2-2-2
16,2714,JDK2-2-2
1,2364,JDK8-9-9
2,2334,JDK8-9-9
3,2362,JDK8-9-9
4,2394,JDK8-9-9
5,2389,JDK8-9-9
6,2420,JDK8-9-9
7,2493,JDK8-9-9
8,2354,JDK8-9-9
9,2605,JDK8-9-9
10,2571,JDK8-9-9
11,2388,JDK8-9-9
12,2511,JDK8-9-9
13,2331,JDK8-9-9
14,2400,JDK8-9-9
15,2514,JDK8-9-9
16,2559,JDK8-9-9
1,2387,JDK5-6-7
2,2455,JDK5-6-7
3,2608,JDK5-6-7
4,2350,JDK5-6-7
5,2328,JDK5-6-7
6,2374,JDK5-6-7
7,2683,JDK5-6-7
8,2355,JDK5-6-7
9,2427,JDK5-6-7
10,2348,JDK5-6-7
11,2383,JDK5-6-7
12,2706,JDK5-6-7
13,2505,JDK5-6-7
14,2471,JDK5-6-7
15,2515,JDK5-6-7
16,2713,JDK5-6-7
1,2395,JDK3-2-3
2,2456,JDK3-2-3
3,2579,JDK3-2-3
4,2417,JDK3-2-3
5,2712,JDK3-2-3
6,2296,JDK3-2-3
7,2577,JDK3-2-3
8,2329,JDK3-2-3
9,2454,JDK3-2-3
10,2420,JDK3-2-3
11,2459,JDK3-2-3
12,2562,JDK3-2-3
13,2735,JDK3-2-3
14,2429,JDK3-2-3
15,2527,JDK3-2-3
16,2431,JDK3-2-3
1,2682,JDK1-1-3
2,2386,JDK1-1-3
3,2356,JDK1-1-3
4,2635,JDK1-1-3
5,2355,JDK1-1-3
6,2499,JDK1-1-3
7,2551,JDK1-1-3
8,2387,JDK1-1-3
9,2738,JDK1-1-3
10,2556,JDK1-1-3
11,2659,JDK1-1-3
12,2617,JDK1-1-3
13,2457,JDK1-1-3
14,2600,JDK1-1-3
15,2446,JDK1-1-3
16,2460,JDK1-1-3
1,2420,JDK5-4-4
2,2427,JDK5-4-4
3,2383,JDK5-4-4
4,2475,JDK5-4-4
5,2514,JDK5-4-4
6,2749,JDK5-4-4
7,2312,JDK5-4-4
8,2416,JDK5-4-4
9,2515,JDK5-4-4
10,2324,JDK5-4-4
11,2735,JDK5-4-4
12,2541,JDK5-4-4
13,2486,JDK5-4-4
14,2847,JDK5-4-4
15,2687,JDK5-4-4
16,2354,JDK5-4-4
1,2360,JDKE
2,2398,JDKE
3,2333,JDKE
4,2424,JDKE
5,2591,JDKE
6,2406,JDKE
7,2482,JDKE
8,2423,JDKE
9,2507,JDKE
10,2411,JDKE
11,2356,JDKE
12,2406,JDKE
13,2357,JDKE
14,2565,JDKE
15,2483,JDKE
16,2526,JDKE
1,2708,JDK2-2-1
2,2333,JDK2-2-1
3,2634,JDK2-2-1
4,2314,JDK2-2-1
5,2348,JDK2-2-1
6,2374,JDK2-2-1
7,2418,JDK2-2-1
8,2603,JDK2-2-1
9,2493,JDK2-2-1
10,2599,JDK2-2-1
11,2478,JDK2-2-1
12,2533,JDK2-2-1
13,2338,JDK2-2-1
14,2493,JDK2-2-1
15,2416,JDK2-2-1
16,2430,JDK2-2-1
1,2631,JDK2-3-2
2,2697,JDK2-3-2
3,2514,JDK2-3-2
4,2687,JDK2-3-2
5,2852,JDK2-3-2
6,3100,JDK2-3-2
7,2901,JDK2-3-2
8,2475,JDK2-3-2
9,2521,JDK2-3-2
10,2766,JDK2-3-2
11,2471,JDK2-3-2
12,2749,JDK2-3-2
13,2909,JDK2-3-2
14,2634,JDK2-3-2
15,2630,JDK2-3-2
16,2523,JDK2-3-2
1,2360,JDK3-2-1
2,2333,JDK3-2-1
3,2285,JDK3-2-1
4,2716,JDK3-2-1
5,2418,JDK3-2-1
6,2396,JDK3-2-1
7,2535,JDK3-2-1
8,2385,JDK3-2-1
9,2459,JDK3-2-1
10,2408,JDK3-2-1
11,2520,JDK3-2-1
12,2332,JDK3-2-1
13,2611,JDK3-2-1
14,2533,JDK3-2-1
15,2325,JDK3-2-1
16,2603,JDK3-2-1
