Run,Time,JVM
1,19297,JDKF
2,17427,JDKF
3,18913,JDKF
4,18998,JDKF
5,17823,JDKF
6,17998,JDKF
7,18966,JDKF
8,18884,JDKF
9,19463,JDKF
10,17988,JDKF
11,19107,JDKF
12,19454,JDKF
13,18883,JDKF
14,17962,JDKF
15,19133,JDKF
16,19197,JDKF
1,24185,JDK5-4-4
2,23568,JDK5-4-4
3,28595,JDK5-4-4
4,24344,JDK5-4-4
5,23111,JDK5-4-4
6,34182,JDK5-4-4
7,27540,JDK5-4-4
8,24751,JDK5-4-4
9,23440,JDK5-4-4
10,25863,JDK5-4-4
11,23539,JDK5-4-4
12,24961,JDK5-4-4
13,23397,JDK5-4-4
14,24747,JDK5-4-4
15,23552,JDK5-4-4
16,24841,JDK5-4-4
1,20079,JDK3-2-3
2,18998,JDK3-2-3
3,19113,JDK3-2-3
4,20517,JDK3-2-3
5,18829,JDK3-2-3
6,19842,JDK3-2-3
7,19126,JDK3-2-3
8,20090,JDK3-2-3
9,18513,JDK3-2-3
10,19542,JDK3-2-3
11,19701,JDK3-2-3
12,19215,JDK3-2-3
13,18935,JDK3-2-3
14,18819,JDK3-2-3
15,20675,JDK3-2-3
16,19146,JDK3-2-3
1,19352,JDK1-1-3
2,18963,JDK1-1-3
3,20645,JDK1-1-3
4,19729,JDK1-1-3
5,19473,JDK1-1-3
6,19866,JDK1-1-3
7,19564,JDK1-1-3
8,19567,JDK1-1-3
9,19752,JDK1-1-3
10,19748,JDK1-1-3
11,19287,JDK1-1-3
12,20031,JDK1-1-3
13,19524,JDK1-1-3
14,19953,JDK1-1-3
15,19082,JDK1-1-3
16,20188,JDK1-1-3
1,18541,JDK2-2-2
2,20041,JDK2-2-2
3,19716,JDK2-2-2
4,18750,JDK2-2-2
5,19685,JDK2-2-2
6,19850,JDK2-2-2
7,19603,JDK2-2-2
8,19547,JDK2-2-2
9,20121,JDK2-2-2
10,19904,JDK2-2-2
11,19389,JDK2-2-2
12,19935,JDK2-2-2
13,19579,JDK2-2-2
14,19589,JDK2-2-2
15,19410,JDK2-2-2
16,19199,JDK2-2-2
1,18835,JDK5-6-7
2,19439,JDK5-6-7
3,19761,JDK5-6-7
4,20466,JDK5-6-7
5,18878,JDK5-6-7
6,19171,JDK5-6-7
7,19719,JDK5-6-7
8,19561,JDK5-6-7
9,18853,JDK5-6-7
10,18872,JDK5-6-7
11,19504,JDK5-6-7
12,19708,JDK5-6-7
13,19595,JDK5-6-7
14,20478,JDK5-6-7
15,19009,JDK5-6-7
16,20433,JDK5-6-7
1,24384,JDK2-3-2
2,24893,JDK2-3-2
3,23570,JDK2-3-2
4,22133,JDK2-3-2
5,24046,JDK2-3-2
6,23779,JDK2-3-2
7,21499,JDK2-3-2
8,23074,JDK2-3-2
9,22840,JDK2-3-2
10,23926,JDK2-3-2
11,22321,JDK2-3-2
12,24973,JDK2-3-2
13,23541,JDK2-3-2
14,23376,JDK2-3-2
15,25137,JDK2-3-2
16,23460,JDK2-3-2
1,19283,JDK3-2-1
2,19307,JDK3-2-1
3,19472,JDK3-2-1
4,19949,JDK3-2-1
5,19585,JDK3-2-1
6,18908,JDK3-2-1
7,18965,JDK3-2-1
8,19750,JDK3-2-1
9,19969,JDK3-2-1
10,19045,JDK3-2-1
11,19945,JDK3-2-1
12,19439,JDK3-2-1
13,20067,JDK3-2-1
14,18526,JDK3-2-1
15,19811,JDK3-2-1
16,20208,JDK3-2-1
1,17729,JDKE
2,18627,JDKE
3,17602,JDKE
4,17315,JDKE
5,17395,JDKE
6,17811,JDKE
7,18070,JDKE
8,17781,JDKE
9,17604,JDKE
10,18006,JDKE
11,17974,JDKE
12,18302,JDKE
13,17949,JDKE
14,17589,JDKE
15,17492,JDKE
16,17285,JDKE
1,19167,JDK2-2-1
2,19815,JDK2-2-1
3,19223,JDK2-2-1
4,18990,JDK2-2-1
5,20583,JDK2-2-1
6,20118,JDK2-2-1
7,19776,JDK2-2-1
8,19149,JDK2-2-1
9,19764,JDK2-2-1
10,19614,JDK2-2-1
11,19511,JDK2-2-1
12,18646,JDK2-2-1
13,19769,JDK2-2-1
14,19884,JDK2-2-1
15,19956,JDK2-2-1
16,18984,JDK2-2-1
1,18841,JDK8-9-9
2,19168,JDK8-9-9
3,19775,JDK8-9-9
4,19059,JDK8-9-9
5,18345,JDK8-9-9
6,19054,JDK8-9-9
7,19250,JDK8-9-9
8,18907,JDK8-9-9
9,19266,JDK8-9-9
10,19581,JDK8-9-9
11,20184,JDK8-9-9
12,18265,JDK8-9-9
13,20125,JDK8-9-9
14,19320,JDK8-9-9
15,18350,JDK8-9-9
16,18867,JDK8-9-9
