Run,Time,JVM
1,11154,JDK2-3-2
2,11310,JDK2-3-2
3,10611,JDK2-3-2
4,10577,JDK2-3-2
5,11619,JDK2-3-2
6,11905,JDK2-3-2
7,11828,JDK2-3-2
8,10193,JDK2-3-2
9,10740,JDK2-3-2
10,11194,JDK2-3-2
11,11177,JDK2-3-2
12,10671,JDK2-3-2
13,11169,JDK2-3-2
14,10496,JDK2-3-2
15,11331,JDK2-3-2
16,11567,JDK2-3-2
1,10184,JDK2-2-1
2,11216,JDK2-2-1
3,11569,JDK2-2-1
4,11275,JDK2-2-1
5,10787,JDK2-2-1
6,10225,JDK2-2-1
7,10724,JDK2-2-1
8,11252,JDK2-2-1
9,11271,JDK2-2-1
10,10259,JDK2-2-1
11,10900,JDK2-2-1
12,10877,JDK2-2-1
13,11598,JDK2-2-1
14,11082,JDK2-2-1
15,15462,JDK2-2-1
16,11251,JDK2-2-1
1,10642,JDK3-2-3
2,10892,JDK3-2-3
3,10764,JDK3-2-3
4,10149,JDK3-2-3
5,11595,JDK3-2-3
6,11231,JDK3-2-3
7,10465,JDK3-2-3
8,11535,JDK3-2-3
9,15101,JDK3-2-3
10,10962,JDK3-2-3
11,11403,JDK3-2-3
12,10163,JDK3-2-3
13,10084,JDK3-2-3
14,11499,JDK3-2-3
15,10464,JDK3-2-3
16,11314,JDK3-2-3
1,5866,JDKF
2,5426,JDKF
3,5772,JDKF
4,5803,JDKF
5,6072,JDKF
6,5848,JDKF
7,5856,JDKF
8,5639,JDKF
9,5773,JDKF
10,6050,JDKF
11,6049,JDKF
12,5892,JDKF
13,5096,JDKF
14,6278,JDKF
15,5494,JDKF
16,5401,JDKF
1,6432,JDKE
2,6796,JDKE
3,6712,JDKE
4,6618,JDKE
5,6171,JDKE
6,6716,JDKE
7,6632,JDKE
8,6164,JDKE
9,6694,JDKE
10,6827,JDKE
11,6694,JDKE
12,7011,JDKE
13,6705,JDKE
14,6605,JDKE
15,6555,JDKE
16,6475,JDKE
1,11408,JDK2-2-2
2,10878,JDK2-2-2
3,11196,JDK2-2-2
4,11122,JDK2-2-2
5,9948,JDK2-2-2
6,14723,JDK2-2-2
7,11130,JDK2-2-2
8,11441,JDK2-2-2
9,11880,JDK2-2-2
10,11324,JDK2-2-2
11,11453,JDK2-2-2
12,10398,JDK2-2-2
13,10567,JDK2-2-2
14,10933,JDK2-2-2
15,11427,JDK2-2-2
16,10330,JDK2-2-2
1,9756,JDK5-6-7
2,9591,JDK5-6-7
3,10102,JDK5-6-7
4,9260,JDK5-6-7
5,10120,JDK5-6-7
6,9924,JDK5-6-7
7,10398,JDK5-6-7
8,9729,JDK5-6-7
9,8664,JDK5-6-7
10,10067,JDK5-6-7
11,10037,JDK5-6-7
12,10135,JDK5-6-7
13,9183,JDK5-6-7
14,9286,JDK5-6-7
15,9963,JDK5-6-7
16,10193,JDK5-6-7
1,14202,JDK1-1-3
2,15113,JDK1-1-3
3,13280,JDK1-1-3
4,15220,JDK1-1-3
5,14991,JDK1-1-3
6,14652,JDK1-1-3
7,12584,JDK1-1-3
8,13954,JDK1-1-3
9,14227,JDK1-1-3
10,15478,JDK1-1-3
11,13564,JDK1-1-3
12,15471,JDK1-1-3
13,14849,JDK1-1-3
14,13753,JDK1-1-3
15,14314,JDK1-1-3
16,14284,JDK1-1-3
1,9707,JDK5-4-4
2,10491,JDK5-4-4
3,10212,JDK5-4-4
4,10064,JDK5-4-4
5,9303,JDK5-4-4
6,10036,JDK5-4-4
7,10189,JDK5-4-4
8,9959,JDK5-4-4
9,9916,JDK5-4-4
10,9765,JDK5-4-4
11,10374,JDK5-4-4
12,10750,JDK5-4-4
13,10162,JDK5-4-4
14,10917,JDK5-4-4
15,9706,JDK5-4-4
16,9409,JDK5-4-4
1,8125,JDK8-9-9
2,7977,JDK8-9-9
3,8553,JDK8-9-9
4,8443,JDK8-9-9
5,8327,JDK8-9-9
6,8096,JDK8-9-9
7,8334,JDK8-9-9
8,8574,JDK8-9-9
9,8698,JDK8-9-9
10,8709,JDK8-9-9
11,7978,JDK8-9-9
12,9069,JDK8-9-9
13,8828,JDK8-9-9
14,8582,JDK8-9-9
15,8978,JDK8-9-9
16,9195,JDK8-9-9
1,11358,JDK3-2-1
2,11279,JDK3-2-1
3,11463,JDK3-2-1
4,11528,JDK3-2-1
5,11312,JDK3-2-1
6,11351,JDK3-2-1
7,11290,JDK3-2-1
8,10766,JDK3-2-1
9,11617,JDK3-2-1
10,11255,JDK3-2-1
11,11761,JDK3-2-1
12,11792,JDK3-2-1
13,10547,JDK3-2-1
14,11899,JDK3-2-1
15,10781,JDK3-2-1
16,11270,JDK3-2-1
