Run,Time,JVM
1,77223,JDKE
2,77331,JDKE
3,77042,JDKE
4,77241,JDKE
5,77117,JDKE
6,76846,JDKE
7,76178,JDKE
8,76029,JDKE
9,78522,JDKE
10,76191,JDKE
11,75860,JDKE
12,75849,JDKE
13,76819,JDKE
14,75373,JDKE
15,76414,JDKE
16,77724,JDKE
1,74852,JDK2-2-1
2,75945,JDK2-2-1
3,76631,JDK2-2-1
4,75618,JDK2-2-1
5,78560,JDK2-2-1
6,76128,JDK2-2-1
7,77617,JDK2-2-1
8,75951,JDK2-2-1
9,76813,JDK2-2-1
10,77166,JDK2-2-1
11,76549,JDK2-2-1
12,75188,JDK2-2-1
13,76221,JDK2-2-1
14,76464,JDK2-2-1
15,78014,JDK2-2-1
16,75105,JDK2-2-1
1,77141,JDK3-2-1
2,76202,JDK3-2-1
3,76809,JDK3-2-1
4,76551,JDK3-2-1
5,75206,JDK3-2-1
6,77363,JDK3-2-1
7,76769,JDK3-2-1
8,77146,JDK3-2-1
9,74350,JDK3-2-1
10,77366,JDK3-2-1
11,76039,JDK3-2-1
12,75705,JDK3-2-1
13,76593,JDK3-2-1
14,77955,JDK3-2-1
15,77126,JDK3-2-1
16,78344,JDK3-2-1
1,78602,JDK3-2-3
2,75616,JDK3-2-3
3,75944,JDK3-2-3
4,78326,JDK3-2-3
5,77616,JDK3-2-3
6,76933,JDK3-2-3
7,77185,JDK3-2-3
8,77518,JDK3-2-3
9,76396,JDK3-2-3
10,76168,JDK3-2-3
11,78002,JDK3-2-3
12,76044,JDK3-2-3
13,79298,JDK3-2-3
14,75770,JDK3-2-3
15,76109,JDK3-2-3
16,75602,JDK3-2-3
1,72674,JDK5-4-4
2,72846,JDK5-4-4
3,75634,JDK5-4-4
4,75821,JDK5-4-4
5,75403,JDK5-4-4
6,74162,JDK5-4-4
7,74902,JDK5-4-4
8,78943,JDK5-4-4
9,72658,JDK5-4-4
10,72448,JDK5-4-4
11,76461,JDK5-4-4
12,72239,JDK5-4-4
13,76057,JDK5-4-4
14,73520,JDK5-4-4
15,73130,JDK5-4-4
16,73676,JDK5-4-4
1,77470,JDK2-2-2
2,76269,JDK2-2-2
3,76294,JDK2-2-2
4,76663,JDK2-2-2
5,75790,JDK2-2-2
6,77946,JDK2-2-2
7,77472,JDK2-2-2
8,76993,JDK2-2-2
9,75909,JDK2-2-2
10,77491,JDK2-2-2
11,74620,JDK2-2-2
12,77937,JDK2-2-2
13,77094,JDK2-2-2
14,76474,JDK2-2-2
15,77269,JDK2-2-2
16,77607,JDK2-2-2
1,75534,JDK1-1-3
2,77439,JDK1-1-3
3,75652,JDK1-1-3
4,75449,JDK1-1-3
5,77966,JDK1-1-3
6,77746,JDK1-1-3
7,76199,JDK1-1-3
8,75730,JDK1-1-3
9,75072,JDK1-1-3
10,77095,JDK1-1-3
11,75364,JDK1-1-3
12,78187,JDK1-1-3
13,77552,JDK1-1-3
14,77153,JDK1-1-3
15,76054,JDK1-1-3
16,75778,JDK1-1-3
1,77238,JDKF
2,75777,JDKF
3,75351,JDKF
4,77955,JDKF
5,76142,JDKF
6,76737,JDKF
7,76727,JDKF
8,76554,JDKF
9,75602,JDKF
10,75828,JDKF
11,75599,JDKF
12,78236,JDKF
13,75725,JDKF
14,76605,JDKF
15,77126,JDKF
16,76015,JDKF
1,73847,JDK2-3-2
2,75288,JDK2-3-2
3,74019,JDK2-3-2
4,74072,JDK2-3-2
5,76411,JDK2-3-2
6,75075,JDK2-3-2
7,76506,JDK2-3-2
8,76295,JDK2-3-2
9,74394,JDK2-3-2
10,74386,JDK2-3-2
11,76493,JDK2-3-2
12,75705,JDK2-3-2
13,74102,JDK2-3-2
14,74919,JDK2-3-2
15,73725,JDK2-3-2
16,73276,JDK2-3-2
1,76707,JDK5-6-7
2,78487,JDK5-6-7
3,76403,JDK5-6-7
4,74221,JDK5-6-7
5,75823,JDK5-6-7
6,76279,JDK5-6-7
7,78479,JDK5-6-7
8,75150,JDK5-6-7
9,76365,JDK5-6-7
10,76462,JDK5-6-7
11,76452,JDK5-6-7
12,76165,JDK5-6-7
13,75915,JDK5-6-7
14,75592,JDK5-6-7
15,79987,JDK5-6-7
16,75932,JDK5-6-7
1,77328,JDK8-9-9
2,76683,JDK8-9-9
3,75943,JDK8-9-9
4,76184,JDK8-9-9
5,75796,JDK8-9-9
6,78804,JDK8-9-9
7,76651,JDK8-9-9
8,76391,JDK8-9-9
9,78940,JDK8-9-9
10,75245,JDK8-9-9
11,76028,JDK8-9-9
12,76816,JDK8-9-9
13,76729,JDK8-9-9
14,76071,JDK8-9-9
15,75794,JDK8-9-9
16,75915,JDK8-9-9
