Run,Time,Container,JVM
1,237565.0,02,JDK2-2-2
2,231965.0,02,JDK2-2-2
3,237566.0,02,JDK2-2-2
4,235917.0,02,JDK2-2-2
5,247090.0,02,JDK2-2-2
6,213016.0,02,JDK2-2-2
7,239521.0,02,JDK2-2-2
8,237610.0,02,JDK2-2-2
9,214621.0,02,JDK2-2-2
10,237264.0,02,JDK2-2-2
11,212773.0,02,JDK2-2-2
12,238978.0,02,JDK2-2-2
13,238647.0,02,JDK2-2-2
14,236970.0,02,JDK2-2-2
15,231353.0,02,JDK2-2-2
16,250957.0,02,JDK2-2-2
1,238622.0,01,JDK2-2-2
2,237046.0,01,JDK2-2-2
3,232932.0,01,JDK2-2-2
4,242878.0,01,JDK2-2-2
5,239691.0,01,JDK2-2-2
6,236222.0,01,JDK2-2-2
7,235318.0,01,JDK2-2-2
8,213846.0,01,JDK2-2-2
9,246118.0,01,JDK2-2-2
10,217319.0,01,JDK2-2-2
11,237367.0,01,JDK2-2-2
12,248976.0,01,JDK2-2-2
13,235903.0,01,JDK2-2-2
14,236230.0,01,JDK2-2-2
15,230374.0,01,JDK2-2-2
16,239449.0,01,JDK2-2-2
1,195083.0,02,JDK0.5-0.5-1
2,170670.0,02,JDK0.5-0.5-1
3,162812.0,02,JDK0.5-0.5-1
4,177318.0,02,JDK0.5-0.5-1
5,180919.0,02,JDK0.5-0.5-1
6,190550.0,02,JDK0.5-0.5-1
7,187192.0,02,JDK0.5-0.5-1
8,180305.0,02,JDK0.5-0.5-1
9,158768.0,02,JDK0.5-0.5-1
10,186061.0,02,JDK0.5-0.5-1
11,174493.0,02,JDK0.5-0.5-1
12,189159.0,02,JDK0.5-0.5-1
13,163559.0,02,JDK0.5-0.5-1
14,177388.0,02,JDK0.5-0.5-1
15,163348.0,02,JDK0.5-0.5-1
16,158882.0,02,JDK0.5-0.5-1
1,160905.0,01,JDK0.5-0.5-1
2,193045.0,01,JDK0.5-0.5-1
3,177009.0,01,JDK0.5-0.5-1
4,162456.0,01,JDK0.5-0.5-1
5,176910.0,01,JDK0.5-0.5-1
6,163822.0,01,JDK0.5-0.5-1
7,180146.0,01,JDK0.5-0.5-1
8,178043.0,01,JDK0.5-0.5-1
9,172103.0,01,JDK0.5-0.5-1
10,189119.0,01,JDK0.5-0.5-1
11,186300.0,01,JDK0.5-0.5-1
12,181540.0,01,JDK0.5-0.5-1
13,192506.0,01,JDK0.5-0.5-1
14,194209.0,01,JDK0.5-0.5-1
15,189896.0,01,JDK0.5-0.5-1
16,186363.0,01,JDK0.5-0.5-1
1,194699.0,01,JDK8-9-9
2,223278.0,01,JDK8-9-9
3,260520.0,01,JDK8-9-9
4,216570.0,01,JDK8-9-9
5,198929.0,01,JDK8-9-9
6,201777.0,01,JDK8-9-9
7,224575.0,01,JDK8-9-9
8,215292.0,01,JDK8-9-9
9,222458.0,01,JDK8-9-9
10,232116.0,01,JDK8-9-9
11,221358.0,01,JDK8-9-9
12,196918.0,01,JDK8-9-9
13,230363.0,01,JDK8-9-9
14,225226.0,01,JDK8-9-9
15,196720.0,01,JDK8-9-9
16,220650.0,01,JDK8-9-9
1,223045.0,02,JDK8-9-9
2,217183.0,02,JDK8-9-9
3,213732.0,02,JDK8-9-9
4,233173.0,02,JDK8-9-9
5,222360.0,02,JDK8-9-9
6,217549.0,02,JDK8-9-9
7,259272.0,02,JDK8-9-9
8,230136.0,02,JDK8-9-9
9,227129.0,02,JDK8-9-9
10,218116.0,02,JDK8-9-9
11,197649.0,02,JDK8-9-9
12,226034.0,02,JDK8-9-9
13,222375.0,02,JDK8-9-9
14,229124.0,02,JDK8-9-9
15,221674.0,02,JDK8-9-9
16,198112.0,02,JDK8-9-9
1,259517.0,02,JDK1-1-3
2,273173.0,02,JDK1-1-3
3,244191.0,02,JDK1-1-3
4,252469.0,02,JDK1-1-3
5,260374.0,02,JDK1-1-3
6,259330.0,02,JDK1-1-3
7,257500.0,02,JDK1-1-3
8,256441.0,02,JDK1-1-3
9,259119.0,02,JDK1-1-3
10,291058.0,02,JDK1-1-3
11,249758.0,02,JDK1-1-3
12,274220.0,02,JDK1-1-3
13,256301.0,02,JDK1-1-3
14,245656.0,02,JDK1-1-3
15,266215.0,02,JDK1-1-3
16,261377.0,02,JDK1-1-3
1,262043.0,01,JDK1-1-3
2,258018.0,01,JDK1-1-3
3,259723.0,01,JDK1-1-3
4,245488.0,01,JDK1-1-3
5,237901.0,01,JDK1-1-3
6,254253.0,01,JDK1-1-3
7,260076.0,01,JDK1-1-3
8,257286.0,01,JDK1-1-3
9,271807.0,01,JDK1-1-3
10,265539.0,01,JDK1-1-3
11,275756.0,01,JDK1-1-3
12,270449.0,01,JDK1-1-3
13,259198.0,01,JDK1-1-3
14,247416.0,01,JDK1-1-3
15,292580.0,01,JDK1-1-3
16,256961.0,01,JDK1-1-3
1,231991.0,02,JDKF
2,223867.0,02,JDKF
3,257121.0,02,JDKF
4,228407.0,02,JDKF
5,219878.0,02,JDKF
6,254787.0,02,JDKF
7,218040.0,02,JDKF
8,260344.0,02,JDKF
9,254501.0,02,JDKF
10,233723.0,02,JDKF
11,221151.0,02,JDKF
12,219777.0,02,JDKF
13,231943.0,02,JDKF
14,215853.0,02,JDKF
15,220164.0,02,JDKF
16,192195.0,02,JDKF
1,195871.0,01,JDKF
2,264328.0,01,JDKF
3,229606.0,01,JDKF
4,203726.0,01,JDKF
5,262627.0,01,JDKF
6,216497.0,01,JDKF
7,251710.0,01,JDKF
8,225503.0,01,JDKF
9,209639.0,01,JDKF
10,217640.0,01,JDKF
11,228670.0,01,JDKF
12,191991.0,01,JDKF
13,219998.0,01,JDKF
14,262314.0,01,JDKF
15,200956.0,01,JDKF
16,196229.0,01,JDKF
1,215101.0,02,JDK2-3-2
2,217560.0,02,JDK2-3-2
3,228216.0,02,JDK2-3-2
4,251346.0,02,JDK2-3-2
5,238643.0,02,JDK2-3-2
6,235474.0,02,JDK2-3-2
7,233634.0,02,JDK2-3-2
8,237509.0,02,JDK2-3-2
9,264283.0,02,JDK2-3-2
10,269591.0,02,JDK2-3-2
11,235114.0,02,JDK2-3-2
12,212856.0,02,JDK2-3-2
13,228238.0,02,JDK2-3-2
14,227176.0,02,JDK2-3-2
15,243546.0,02,JDK2-3-2
16,220118.0,02,JDK2-3-2
1,218864.0,01,JDK2-3-2
2,234888.0,01,JDK2-3-2
3,239118.0,01,JDK2-3-2
4,245431.0,01,JDK2-3-2
5,227084.0,01,JDK2-3-2
6,236490.0,01,JDK2-3-2
7,249980.0,01,JDK2-3-2
8,238141.0,01,JDK2-3-2
