Run,Time,Container,JVM
1,135083.0,01,JDK2-2-2
2,137851.0,01,JDK2-2-2
3,135831.0,01,JDK2-2-2
4,135283.0,01,JDK2-2-2
5,133350.0,01,JDK2-2-2
6,135164.0,01,JDK2-2-2
7,135932.0,01,JDK2-2-2
8,132555.0,01,JDK2-2-2
9,167713.0,01,JDK2-2-2
10,132880.0,01,JDK2-2-2
11,133582.0,01,JDK2-2-2
12,133109.0,01,JDK2-2-2
13,169922.0,01,JDK2-2-2
14,169778.0,01,JDK2-2-2
15,163939.0,01,JDK2-2-2
16,135258.0,01,JDK2-2-2
1,97347.0,01,JDK0.5-0.5-1
2,130091.0,01,JDK0.5-0.5-1
3,98939.0,01,JDK0.5-0.5-1
4,98932.0,01,JDK0.5-0.5-1
5,98617.0,01,JDK0.5-0.5-1
6,96449.0,01,JDK0.5-0.5-1
7,94997.0,01,JDK0.5-0.5-1
8,94826.0,01,JDK0.5-0.5-1
9,97522.0,01,JDK0.5-0.5-1
10,125979.0,01,JDK0.5-0.5-1
11,96865.0,01,JDK0.5-0.5-1
12,128672.0,01,JDK0.5-0.5-1
13,96138.0,01,JDK0.5-0.5-1
14,96466.0,01,JDK0.5-0.5-1
15,130851.0,01,JDK0.5-0.5-1
16,97636.0,01,JDK0.5-0.5-1
1,120198.0,01,JDK8-9-9
2,151322.0,01,JDK8-9-9
3,121286.0,01,JDK8-9-9
4,125064.0,01,JDK8-9-9
5,151382.0,01,JDK8-9-9
6,123379.0,01,JDK8-9-9
7,122916.0,01,JDK8-9-9
8,120717.0,01,JDK8-9-9
9,121484.0,01,JDK8-9-9
10,151337.0,01,JDK8-9-9
11,121677.0,01,JDK8-9-9
12,122287.0,01,JDK8-9-9
13,123126.0,01,JDK8-9-9
14,121311.0,01,JDK8-9-9
15,153936.0,01,JDK8-9-9
16,117736.0,01,JDK8-9-9
1,152292.0,01,JDK1-1-3
2,182817.0,01,JDK1-1-3
3,148765.0,01,JDK1-1-3
4,152190.0,01,JDK1-1-3
5,150055.0,01,JDK1-1-3
6,181938.0,01,JDK1-1-3
7,150844.0,01,JDK1-1-3
8,151984.0,01,JDK1-1-3
9,151867.0,01,JDK1-1-3
10,150126.0,01,JDK1-1-3
11,180604.0,01,JDK1-1-3
12,185711.0,01,JDK1-1-3
13,149169.0,01,JDK1-1-3
14,183613.0,01,JDK1-1-3
15,152984.0,01,JDK1-1-3
16,187387.0,01,JDK1-1-3
1,150986.0,01,JDKF
2,115549.0,01,JDKF
3,117500.0,01,JDKF
4,153309.0,01,JDKF
5,110156.0,01,JDKF
6,114183.0,01,JDKF
7,117093.0,01,JDKF
8,113830.0,01,JDKF
9,115576.0,01,JDKF
10,148042.0,01,JDKF
11,149707.0,01,JDKF
12,110170.0,01,JDKF
13,152277.0,01,JDKF
14,115636.0,01,JDKF
15,119445.0,01,JDKF
16,146551.0,01,JDKF
1,167208.0,01,JDK2-3-2
2,133277.0,01,JDK2-3-2
3,133525.0,01,JDK2-3-2
4,137302.0,01,JDK2-3-2
5,133428.0,01,JDK2-3-2
6,163518.0,01,JDK2-3-2
7,135767.0,01,JDK2-3-2
8,166609.0,01,JDK2-3-2
9,132371.0,01,JDK2-3-2
10,133130.0,01,JDK2-3-2
11,135735.0,01,JDK2-3-2
12,132290.0,01,JDK2-3-2
13,133370.0,01,JDK2-3-2
14,134023.0,01,JDK2-3-2
15,133647.0,01,JDK2-3-2
16,167539.0,01,JDK2-3-2
