Run,Time,Container,JVM
1,223726.0,01,JDK2-2-2
2,240176.0,01,JDK2-2-2
3,241310.0,01,JDK2-2-2
4,240769.0,01,JDK2-2-2
5,236665.0,01,JDK2-2-2
6,241516.0,01,JDK2-2-2
7,233079.0,01,JDK2-2-2
8,245701.0,01,JDK2-2-2
9,246262.0,01,JDK2-2-2
10,246553.0,01,JDK2-2-2
11,235106.0,01,JDK2-2-2
12,216810.0,01,JDK2-2-2
13,241166.0,01,JDK2-2-2
14,240962.0,01,JDK2-2-2
15,240397.0,01,JDK2-2-2
16,220202.0,01,JDK2-2-2
1,239662.0,02,JDK2-2-2
2,245612.0,02,JDK2-2-2
3,239232.0,02,JDK2-2-2
4,240615.0,02,JDK2-2-2
5,252331.0,02,JDK2-2-2
6,232658.0,02,JDK2-2-2
7,241011.0,02,JDK2-2-2
8,237598.0,02,JDK2-2-2
9,238867.0,02,JDK2-2-2
10,233654.0,02,JDK2-2-2
11,213127.0,02,JDK2-2-2
12,241500.0,02,JDK2-2-2
13,249189.0,02,JDK2-2-2
14,251068.0,02,JDK2-2-2
15,245281.0,02,JDK2-2-2
16,239757.0,02,JDK2-2-2
1,178647.0,01,JDK0.5-0.5-1
2,206628.0,01,JDK0.5-0.5-1
3,168182.0,01,JDK0.5-0.5-1
4,166616.0,01,JDK0.5-0.5-1
5,182955.0,01,JDK0.5-0.5-1
6,174518.0,01,JDK0.5-0.5-1
7,190014.0,01,JDK0.5-0.5-1
8,176068.0,01,JDK0.5-0.5-1
9,187500.0,01,JDK0.5-0.5-1
10,163124.0,01,JDK0.5-0.5-1
11,184215.0,01,JDK0.5-0.5-1
12,183671.0,01,JDK0.5-0.5-1
13,166353.0,01,JDK0.5-0.5-1
14,177479.0,01,JDK0.5-0.5-1
15,165044.0,01,JDK0.5-0.5-1
16,176856.0,01,JDK0.5-0.5-1
1,187299.0,02,JDK0.5-0.5-1
2,197782.0,02,JDK0.5-0.5-1
3,188385.0,02,JDK0.5-0.5-1
4,183413.0,02,JDK0.5-0.5-1
5,178017.0,02,JDK0.5-0.5-1
6,179507.0,02,JDK0.5-0.5-1
7,171689.0,02,JDK0.5-0.5-1
8,201901.0,02,JDK0.5-0.5-1
9,197495.0,02,JDK0.5-0.5-1
10,196960.0,02,JDK0.5-0.5-1
11,184966.0,02,JDK0.5-0.5-1
12,177009.0,02,JDK0.5-0.5-1
13,177579.0,02,JDK0.5-0.5-1
14,186051.0,02,JDK0.5-0.5-1
15,191214.0,02,JDK0.5-0.5-1
16,194319.0,02,JDK0.5-0.5-1
1,229922.0,02,JDK8-9-9
2,222036.0,02,JDK8-9-9
3,264153.0,02,JDK8-9-9
4,221967.0,02,JDK8-9-9
5,213562.0,02,JDK8-9-9
6,226405.0,02,JDK8-9-9
7,235108.0,02,JDK8-9-9
8,221715.0,02,JDK8-9-9
9,226539.0,02,JDK8-9-9
10,223528.0,02,JDK8-9-9
11,227960.0,02,JDK8-9-9
12,225234.0,02,JDK8-9-9
13,224173.0,02,JDK8-9-9
14,201828.0,02,JDK8-9-9
15,221924.0,02,JDK8-9-9
16,221521.0,02,JDK8-9-9
1,204834.0,01,JDK8-9-9
2,263849.0,01,JDK8-9-9
3,222452.0,01,JDK8-9-9
4,226497.0,01,JDK8-9-9
5,220030.0,01,JDK8-9-9
6,220694.0,01,JDK8-9-9
7,199594.0,01,JDK8-9-9
8,212113.0,01,JDK8-9-9
9,223046.0,01,JDK8-9-9
10,229744.0,01,JDK8-9-9
11,224000.0,01,JDK8-9-9
12,226669.0,01,JDK8-9-9
13,220918.0,01,JDK8-9-9
14,224744.0,01,JDK8-9-9
15,224631.0,01,JDK8-9-9
16,232895.0,01,JDK8-9-9
1,276698.0,01,JDK1-1-3
2,299828.0,01,JDK1-1-3
3,279191.0,01,JDK1-1-3
4,255299.0,01,JDK1-1-3
5,272074.0,01,JDK1-1-3
6,259707.0,01,JDK1-1-3
7,263304.0,01,JDK1-1-3
8,278918.0,01,JDK1-1-3
9,254500.0,01,JDK1-1-3
10,267633.0,01,JDK1-1-3
11,263540.0,01,JDK1-1-3
12,257274.0,01,JDK1-1-3
13,259056.0,01,JDK1-1-3
14,256784.0,01,JDK1-1-3
15,260027.0,01,JDK1-1-3
16,265952.0,01,JDK1-1-3
1,258003.0,02,JDK1-1-3
2,249116.0,02,JDK1-1-3
3,296012.0,02,JDK1-1-3
