Run,Time,Container,JVM
1,102352.0,01,JDK1-1-3
2,107201.0,01,JDK1-1-3
3,107053.0,01,JDK1-1-3
4,108303.0,01,JDK1-1-3
5,110090.0,01,JDK1-1-3
6,143971.0,01,JDK1-1-3
7,138925.0,01,JDK1-1-3
8,106424.0,01,JDK1-1-3
9,137868.0,01,JDK1-1-3
10,106992.0,01,JDK1-1-3
11,109634.0,01,JDK1-1-3
12,108461.0,01,JDK1-1-3
13,111584.0,01,JDK1-1-3
14,140873.0,01,JDK1-1-3
15,104580.0,01,JDK1-1-3
16,108410.0,01,JDK1-1-3
1,102556.0,01,JDKF
2,139227.0,01,JDKF
3,139329.0,01,JDKF
4,101626.0,01,JDKF
5,136710.0,01,JDKF
6,104836.0,01,JDKF
7,140643.0,01,JDKF
8,139284.0,01,JDKF
9,136292.0,01,JDKF
10,104812.0,01,JDKF
11,145796.0,01,JDKF
12,144187.0,01,JDKF
13,104003.0,01,JDKF
14,104813.0,01,JDKF
15,138680.0,01,JDKF
16,142947.0,01,JDKF
1,134244.0,01,JDK2-3-2
2,105568.0,01,JDK2-3-2
3,137574.0,01,JDK2-3-2
4,104186.0,01,JDK2-3-2
5,104880.0,01,JDK2-3-2
6,110392.0,01,JDK2-3-2
7,107107.0,01,JDK2-3-2
8,138500.0,01,JDK2-3-2
9,104834.0,01,JDK2-3-2
10,102913.0,01,JDK2-3-2
11,103389.0,01,JDK2-3-2
12,104143.0,01,JDK2-3-2
13,104942.0,01,JDK2-3-2
14,105368.0,01,JDK2-3-2
15,140651.0,01,JDK2-3-2
16,105760.0,01,JDK2-3-2
1,111640.0,01,JDK2-2-2
2,141422.0,01,JDK2-2-2
3,106319.0,01,JDK2-2-2
4,140966.0,01,JDK2-2-2
5,108323.0,01,JDK2-2-2
6,112241.0,01,JDK2-2-2
7,109381.0,01,JDK2-2-2
8,105684.0,01,JDK2-2-2
9,107935.0,01,JDK2-2-2
10,142171.0,01,JDK2-2-2
11,140662.0,01,JDK2-2-2
12,103971.0,01,JDK2-2-2
13,142085.0,01,JDK2-2-2
14,108629.0,01,JDK2-2-2
15,139411.0,01,JDK2-2-2
16,142914.0,01,JDK2-2-2
1,97201.0,01,JDK0.5-0.5-1
2,133124.0,01,JDK0.5-0.5-1
3,133092.0,01,JDK0.5-0.5-1
4,133156.0,01,JDK0.5-0.5-1
5,101155.0,01,JDK0.5-0.5-1
6,98665.0,01,JDK0.5-0.5-1
7,99394.0,01,JDK0.5-0.5-1
8,99773.0,01,JDK0.5-0.5-1
9,126412.0,01,JDK0.5-0.5-1
10,99997.0,01,JDK0.5-0.5-1
11,98937.0,01,JDK0.5-0.5-1
12,96152.0,01,JDK0.5-0.5-1
13,101402.0,01,JDK0.5-0.5-1
14,101399.0,01,JDK0.5-0.5-1
15,129627.0,01,JDK0.5-0.5-1
16,99811.0,01,JDK0.5-0.5-1
1,104238.0,01,JDK8-9-9
2,138464.0,01,JDK8-9-9
3,139226.0,01,JDK8-9-9
4,103743.0,01,JDK8-9-9
5,102436.0,01,JDK8-9-9
6,135429.0,01,JDK8-9-9
7,104170.0,01,JDK8-9-9
8,107197.0,01,JDK8-9-9
9,138145.0,01,JDK8-9-9
10,105603.0,01,JDK8-9-9
11,138182.0,01,JDK8-9-9
12,108265.0,01,JDK8-9-9
13,107854.0,01,JDK8-9-9
14,106468.0,01,JDK8-9-9
15,106569.0,01,JDK8-9-9
16,104849.0,01,JDK8-9-9
