Run,Time,Container,JVM
1,201410.0,01,JDK1-1-3
2,193310.0,01,JDK1-1-3
3,219849.0,01,JDK1-1-3
4,185576.0,01,JDK1-1-3
5,191701.0,01,JDK1-1-3
6,198602.0,01,JDK1-1-3
7,188824.0,01,JDK1-1-3
8,185127.0,01,JDK1-1-3
9,200455.0,01,JDK1-1-3
10,206975.0,01,JDK1-1-3
11,209411.0,01,JDK1-1-3
12,196038.0,01,JDK1-1-3
13,200323.0,01,JDK1-1-3
14,180056.0,01,JDK1-1-3
15,208506.0,01,JDK1-1-3
16,200837.0,01,JDK1-1-3
1,186148.0,02,JDK1-1-3
2,199412.0,02,JDK1-1-3
3,193722.0,02,JDK1-1-3
4,201928.0,02,JDK1-1-3
5,198296.0,02,JDK1-1-3
6,191881.0,02,JDK1-1-3
7,220951.0,02,JDK1-1-3
8,217376.0,02,JDK1-1-3
9,224243.0,02,JDK1-1-3
10,208547.0,02,JDK1-1-3
11,205977.0,02,JDK1-1-3
12,210083.0,02,JDK1-1-3
13,202832.0,02,JDK1-1-3
14,196392.0,02,JDK1-1-3
15,206188.0,02,JDK1-1-3
16,200340.0,02,JDK1-1-3
1,203349.0,01,JDKF
2,216359.0,01,JDKF
3,179826.0,01,JDKF
4,193964.0,01,JDKF
5,243451.0,01,JDKF
6,205680.0,01,JDKF
7,183934.0,01,JDKF
8,248268.0,01,JDKF
9,181257.0,01,JDKF
10,208980.0,01,JDKF
11,188894.0,01,JDKF
12,182310.0,01,JDKF
13,205752.0,01,JDKF
14,206952.0,01,JDKF
15,208288.0,01,JDKF
16,235748.0,01,JDKF
1,193645.0,02,JDKF
2,246155.0,02,JDKF
3,242673.0,02,JDKF
4,204240.0,02,JDKF
5,212620.0,02,JDKF
6,218805.0,02,JDKF
7,209058.0,02,JDKF
8,180413.0,02,JDKF
9,179177.0,02,JDKF
10,208255.0,02,JDKF
11,185937.0,02,JDKF
12,175840.0,02,JDKF
13,211233.0,02,JDKF
14,232452.0,02,JDKF
15,188949.0,02,JDKF
16,206237.0,02,JDKF
1,200247.0,01,JDK2-3-2
2,203603.0,01,JDK2-3-2
3,198789.0,01,JDK2-3-2
4,177605.0,01,JDK2-3-2
5,204537.0,01,JDK2-3-2
6,236101.0,01,JDK2-3-2
7,193741.0,01,JDK2-3-2
8,211262.0,01,JDK2-3-2
9,229394.0,01,JDK2-3-2
10,182162.0,01,JDK2-3-2
11,192111.0,01,JDK2-3-2
12,191115.0,01,JDK2-3-2
13,199771.0,01,JDK2-3-2
14,182391.0,01,JDK2-3-2
15,215721.0,01,JDK2-3-2
16,181899.0,01,JDK2-3-2
1,207877.0,02,JDK2-3-2
2,167035.0,02,JDK2-3-2
3,202839.0,02,JDK2-3-2
4,202469.0,02,JDK2-3-2
5,202284.0,02,JDK2-3-2
6,232668.0,02,JDK2-3-2
7,204900.0,02,JDK2-3-2
8,192097.0,02,JDK2-3-2
9,183968.0,02,JDK2-3-2
